category,region,domain,requirement,documentation_format,status,must_comply_by,citation_source,last_verified
Bluetooth Headset,EU/UK,environmental_sustainability,"RoHS Directive 2011/65/EU (as amended by 2015/863) restricting hazardous substances (lead, mercury, cadmium, hexavalent chromium, PBB, PBDE, and 4 phthalates) must be met.",online,existing,Now,WW-long-form-QSG-content (2).xlsx - Sheet2 (EU/UK RoHS reference),2026-09-09
Bluetooth Headset,EU/UK,environmental_sustainability,Product must display the EU WEEE crossed-out wheelie-bin symbol on the device housing.,print,existing,Now,WW-long-form-QSG-content (2).xlsx - Sheet2 (EU WEEE Statement),2026-09-09
Bluetooth Headset,EU/UK,environmental_sustainability,"EU Lot 7 Ecodesign regulation newly extends requirements to external power supplies, wireless chargers, and USB Type-C charging cables shipped with the product.",online,emerging,2028-12-14,ER Roadmap_FY26Q3.pdf - Emerging Regulations Roadmap (EMEA),2026-08-01
Bluetooth Headset,EU/UK,safety_emc_telecom,EU/UK Simplified Declaration of Conformity referencing RED 2014/53/EU and IEC 62368-1 safety/EMC standard must be included with the product.,either,existing,Now,WW-long-form-QSG-content (2).xlsx - Sheet2 (EU/UK Simplified DoC),2026-09-09
Bluetooth Headset,EU/UK,safety_emc_telecom,Product must carry the EU RED graphic/marking and the CE mark on the device or its packaging.,print,existing,Now,WW-long-form-QSG-content (2).xlsx - Sheet2 (EU RED graphic),2026-09-09
Bluetooth Headset,EU/UK,safety_emc_telecom,Documentation must include an IEEE 802.11x radio compliance note for the integrated Wi-Fi module.,online,existing,Now,WW-long-form-QSG-content (2).xlsx - Sheet2 (IEEE 802.11x note),2026-09-09
Bluetooth Headset,EU/UK,trade_customs,"Customs approval for Safety, EMC, Energy, and Telecom is NOT required to be held specifically in the importer's (HP entity's) name for EU/EEA.",online,existing,Now,Machinery_ITE_Import_or_Importer_controls.xlsx - Importer Invoice countries ITE tab (EU/EEA row),2026-09-09
Bluetooth Headset,EU/UK,trade_customs,"Customs review of technical-regulation compliance for Safety/EMC/Energy/Telecom is handled on a discretionary, case-by-case basis (""D"") at EU/UK border entry.",online,existing,Now,Machinery_ITE_Import_or_Importer_controls.xlsx - Importer Invoice countries ITE tab (EU/EEA and UK rows),2026-09-09
Bluetooth Headset,EU/UK,trade_customs,A UK-specific conformity marking (UKCA) may be required alongside CE marking depending on the product's UK market entry route; final scope/date still being confirmed.,print,emerging,TBD,Regulatory Requirements Summary.xlsx - EMEA ITE tab (UK row),2026-09-09
Bluetooth Headset,EU/UK,warranty_documentation,"UK warranty may be provided electronically for both consumer and commercial customers, but the customer must be given the option to request a printed copy.",either,existing,Now,WW_Content_Requirements_FY25_FINAL.xlsx - EMEA & ISE tab (United Kingdom row),2025-05-01
Bluetooth Headset,EU/UK,warranty_documentation,"Austria: if only a short-form warranty is provided in print, the full long-form guarantee statement must also be made available to the consumer on a ""permanent data carrier"" (electronic or physical); a website link alone does not satisfy this.",either,existing,Now,WW_Content_Requirements_FY25_FINAL.xlsx - EMEA & ISE tab (Austria row),2025-05-01
Bluetooth Headset,EU/UK,warranty_documentation,Setup instructions containing safety/regulatory notices must be provided in printed form for both commercial and consumer customers in the UK.,print,existing,Now,WW_Content_Requirements_FY25_FINAL.xlsx - EMEA & ISE tab (United Kingdom row),2025-05-01
Bluetooth Headset,US,environmental_sustainability,"No federal RoHS-equivalent restriction applies to headsets at the national level, but California Proposition 65 disclosure may apply if regulated substances are present.",online,existing,Now,"Regulatory Requirements Summary.xlsx - AMS ITE tab (USA row, comments)",2026-09-09
